eventstart,eventend,name,type,subtype,subsubtype,description,source,scheduled,eventstart_CET,eventend_CET
"07.03.2002 08:30:00","07.03.2002 09:08:00","ECB: Press Conference","Central Bank","ECB","Press Conference","GCM PC, Duisenberg: ""We are indeed reasonably optimistic [regarding the economic outlook]""","https://www.ecb.europa.eu/press/pressconf/2002/html/is020307.en.html",1,"07.03.2002 14:30:00","07.03.2002 15:08:00"
"07.03.2002 10:00:00","07.03.2002 12:35:00","Fed: Speech by Chair","Central Bank","Fed","Speech by Chair","Greenspan Senate Testimony (Monetary Policy Report)","https://www.govinfo.gov/content/pkg/CHRG-107shrg80301/pdf/CHRG-107shrg80301.pdf",1,"07.03.2002 16:00:00","07.03.2002 18:35:00"
"07.03.2002 14:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795LA7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa30702.pdf",1,"07.03.2002 20:30:00","NaT"
"07.03.2002 14:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795JY8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa30702.pdf",1,"07.03.2002 20:30:00","NaT"
"07.03.2002 16:00:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Macroeconomic policy in recessions--and other times","https://www.federalreserve.gov/boarddocs/speeches/2002/20020307/default.htm",0,"07.03.2002 22:00:00","NaT"
"07.03.2002 18:45:00","NaT","JP Bank Lending and Monetary Aggregates","Macro Release","JP","Bank Lending and Monetary Aggregates","","Bloomberg",1,"08.03.2002 00:45:00","NaT"
"07.03.2002 18:45:00","NaT","JP GDP and Components","Macro Release","JP","GDP and Components","","Bloomberg",1,"08.03.2002 00:45:00","NaT"
"08.03.2002 00:00:00","NaT","JP Household Spending & JP Overall Household Spending","Macro Release","JP","Household Spending & JP Overall Household Spending","","Bloomberg",1,"08.03.2002 06:00:00","NaT"
"08.03.2002 04:00:00","NaT","NO Ind Prod Manufacturing & NO Industrial Production","Macro Release","NO","Ind Prod Manufacturing & NO Industrial Production","","Bloomberg",1,"08.03.2002 10:00:00","NaT"
"08.03.2002 04:00:00","NaT","NO Retail Sales","Macro Release","NO","Retail Sales","","Bloomberg",1,"08.03.2002 10:00:00","NaT"
"08.03.2002 06:00:00","NaT","GR CPI & GR CPI EU Harmonized","Macro Release","GR","CPI & GR CPI EU Harmonized","","Bloomberg",1,"08.03.2002 12:00:00","NaT"
"08.03.2002 06:30:00","NaT","GR CPI & GR CPI EU Harmonized","Macro Release","GR","CPI & GR CPI EU Harmonized","","Bloomberg",1,"08.03.2002 12:30:00","NaT"
"08.03.2002 08:30:00","NaT","US Employment Report","Macro Release","US","Employment Report","","Bloomberg",1,"08.03.2002 14:30:00","NaT"
"08.03.2002 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"08.03.2002 15:00:00","NaT"
"11.03.2002 00:00:00","NaT","JP Machine Orders","Macro Release","JP","Machine Orders","","Bloomberg",1,"11.03.2002 06:00:00","NaT"
"11.03.2002 01:00:00","NaT","JP Machine Tool Orders","Macro Release","JP","Machine Tool Orders","","Bloomberg",1,"11.03.2002 07:00:00","NaT"
"11.03.2002 03:30:00","NaT","NL Industrial Sales & NL Manufacturing Production","Macro Release","NL","Industrial Sales & NL Manufacturing Production","","Bloomberg",1,"11.03.2002 09:30:00","NaT"
"11.03.2002 04:30:00","NaT","UK Price Indices","Macro Release","UK","Price Indices","","Bloomberg",1,"11.03.2002 10:30:00","NaT"
"11.03.2002 11:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795JP7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb31102.pdf",1,"11.03.2002 17:30:00","NaT"
"11.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795LA7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa30702.pdf",1,"11.03.2002 19:05:00","NaT"
"11.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795JY8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa30702.pdf",1,"11.03.2002 19:05:00","NaT"
"12.03.2002 02:45:00","NaT","FR CPI and Wages","Macro Release","FR","CPI and Wages","","Bloomberg",1,"12.03.2002 08:45:00","NaT"
"12.03.2002 04:00:00","NaT","ES Retail Sales","Macro Release","ES","Retail Sales","","Bloomberg",1,"12.03.2002 10:00:00","NaT"
"12.03.2002 04:30:00","NaT","UK Industrial Production & UK Manufacturing Production","Macro Release","UK","Industrial Production & UK Manufacturing Production","","Bloomberg",1,"12.03.2002 10:30:00","NaT"
"12.03.2002 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"12.03.2002 11:15:00","NaT"
"12.03.2002 09:00:00","NaT","Fed: Speech by FOMC member","Central Bank","Fed","Speech by FOMC member","Current industry issues","https://www.federalreserve.gov/boarddocs/speeches/2002/20020312/default.htm",0,"12.03.2002 15:00:00","NaT"
"12.03.2002 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795JP7","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofb31102.pdf",1,"12.03.2002 19:05:00","NaT"
"12.03.2002 19:15:00","NaT","CN CPI","Macro Release","CN","CPI","","Bloomberg",1,"13.03.2002 01:15:00","NaT"
"13.03.2002 01:45:00","NaT","EA Car Registrations","Macro Release","EA","Car Registrations","","Bloomberg",1,"13.03.2002 07:45:00","NaT"
"13.03.2002 03:30:00","NaT","DK Trade & Current Account Balance","Macro Release","DK","Trade & Current Account Balance","","Bloomberg",1,"13.03.2002 09:30:00","NaT"
"13.03.2002 06:00:00","NaT","SE Current Account Balance","Macro Release","SE","Current Account Balance","","Bloomberg",1,"13.03.2002 12:00:00","NaT"
"13.03.2002 06:30:00","NaT","GR GDP","Macro Release","GR","GDP","","Bloomberg",1,"13.03.2002 12:30:00","NaT"
"13.03.2002 08:30:00","NaT","US Retail Sales","Macro Release","US","Retail Sales","","Bloomberg",1,"13.03.2002 14:30:00","NaT"
"13.03.2002 13:44:00","NaT","Fed: Speech by Chair","Central Bank","Fed","Speech by Chair","Greenspan: US economy firming","https://global.factiva.com/redir/default.aspx?P=sa&an=lba0000020020313dy3d00sux&cat=a&ep=ASE",0,"13.03.2002 19:44:00","NaT"
"13.03.2002 18:45:00","NaT","JP Current Account","Macro Release","JP","Current Account","","Bloomberg",1,"14.03.2002 00:45:00","NaT"
"13.03.2002 23:00:00","NaT","JP Tokyo Condominium Sales","Macro Release","JP","Tokyo Condominium Sales","","Bloomberg",1,"14.03.2002 05:00:00","NaT"
"13.03.2002 23:30:00","NaT","JP Bankruptcies","Macro Release","JP","Bankruptcies","","Bloomberg",1,"14.03.2002 05:30:00","NaT"
"14.03.2002 01:00:00","NaT","FI CPI","Macro Release","FI","CPI","","Bloomberg",1,"14.03.2002 07:00:00","NaT"
"14.03.2002 01:30:00","NaT","CN GDP and Other Macro Aggregates","Macro Release","CN","GDP and Other Macro Aggregates","","Bloomberg",1,"14.03.2002 07:30:00","NaT"
"14.03.2002 02:45:00","NaT","FR Industrial Production & FR Manufacturing Production","Macro Release","FR","Industrial Production & FR Manufacturing Production","","Bloomberg",1,"14.03.2002 08:45:00","NaT"
"14.03.2002 03:00:00","NaT","IT Industrial Production","Macro Release","IT","Industrial Production","","Bloomberg",1,"14.03.2002 09:00:00","NaT"
"14.03.2002 04:00:00","NaT","ECB: Economic Bulletin","Central Bank","ECB","Economic Bulletin","Monthly Bulletin","https://www.ecb.europa.eu/pub/pdf/mobu/mb200203en.pdf",1,"14.03.2002 10:00:00","NaT"
"14.03.2002 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"14.03.2002 14:30:00","NaT"
"14.03.2002 14:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795LB5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa31402.pdf",1,"14.03.2002 20:30:00","NaT"
"14.03.2002 14:30:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795JZ5","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2002/ofa31402.pdf",1,"14.03.2002 20:30:00","NaT"
"14.03.2002 23:30:00","NaT","JP Capacity Utilization & JP Industrial Production","Macro Release","JP","Capacity Utilization & JP Industrial Production","","Bloomberg",1,"15.03.2002 05:30:00","NaT"
"15.03.2002 02:45:00","NaT","FR Trade Balance","Macro Release","FR","Trade Balance","","Bloomberg",1,"15.03.2002 08:45:00","NaT"
"15.03.2002 03:00:00","NaT","IT CPI","Macro Release","IT","CPI","","Bloomberg",1,"15.03.2002 09:00:00","NaT"
"15.03.2002 03:15:00","NaT","CH Producer, Import Prices","Macro Release","CH","Producer, Import Prices","","Bloomberg",1,"15.03.2002 09:15:00","NaT"
"15.03.2002 03:15:00","NaT","CH Retail Sales","Macro Release","CH","Retail Sales","","Bloomberg",1,"15.03.2002 09:15:00","NaT"
"15.03.2002 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"15.03.2002 11:15:00","NaT"
"15.03.2002 08:30:00","NaT","US PPI","Macro Release","US","PPI","","Bloomberg",1,"15.03.2002 14:30:00","NaT"
"15.03.2002 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"15.03.2002 15:00:00","NaT"
"15.03.2002 09:15:00","NaT","US Production and Capacity Utilization","Macro Release","US","Production and Capacity Utilization","","Bloomberg",1,"15.03.2002 15:15:00","NaT"
"15.03.2002 09:45:00","NaT","US University of Michigan Surveys","Macro Release","US","University of Michigan Surveys","","Bloomberg",1,"15.03.2002 15:45:00","NaT"
