eventstart,eventend,name,type,subtype,subsubtype,description,source,scheduled,eventstart_CET,eventend_CET
"29.06.2005 13:05:00","NaT","US Auction Result Note","Auction","US Result","Note","CUSIP 912828DY3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofd062705.pdf",1,"29.06.2005 19:05:00","NaT"
"30.06.2005 01:45:00","NaT","CH CPI","Macro Release","CH","CPI","","Bloomberg",1,"30.06.2005 07:45:00","NaT"
"30.06.2005 02:00:00","NaT","FI Industrial Production","Macro Release","FI","Industrial Production","","Bloomberg",1,"30.06.2005 08:00:00","NaT"
"30.06.2005 03:00:00","NaT","ES Retail Sales","Macro Release","ES","Retail Sales","","Bloomberg",1,"30.06.2005 09:00:00","NaT"
"30.06.2005 04:00:00","NaT","NO Unemployment Rate","Macro Release","NO","Unemployment Rate","","Bloomberg",1,"30.06.2005 10:00:00","NaT"
"30.06.2005 05:00:00","NaT","IT CPI","Macro Release","IT","CPI","","Bloomberg",1,"30.06.2005 11:00:00","NaT"
"30.06.2005 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"30.06.2005 14:30:00","NaT"
"30.06.2005 10:00:00","NaT","US Chicago Purchasing Manager","Macro Release","US","Chicago Purchasing Manager","","Bloomberg",1,"30.06.2005 16:00:00","NaT"
"30.06.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795WH0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa063005.pdf",1,"30.06.2005 17:00:00","NaT"
"30.06.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VU2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa063005.pdf",1,"30.06.2005 17:00:00","NaT"
"30.06.2005 12:00:00","NaT","ECB: Speech by GC member","Central Bank","ECB","Speech by GC member","ECB's Weber Speaks on Germany and Monetary Union","Bloomberg",0,"30.06.2005 18:00:00","NaT"
"30.06.2005 14:15:00","NaT","Fed: Press Release","Central Bank","Fed","Press Release","FOMC Statement: 25 bp rate hike","",1,"30.06.2005 20:15:00","NaT"
"01.07.2005 09:45:00","NaT","US University of Michigan Surveys","Macro Release","US","University of Michigan Surveys","","Bloomberg",1,"01.07.2005 15:45:00","NaT"
"01.07.2005 10:00:00","NaT","US ISM Releases","Macro Release","US","ISM Releases","","Bloomberg",1,"01.07.2005 16:00:00","NaT"
"03.07.2005 21:30:00","NaT","JP Earnings Data","Macro Release","JP","Earnings Data","","Bloomberg",1,"04.07.2005 03:30:00","NaT"
"04.07.2005 03:00:00","NaT","ES Unemployment Net","Macro Release","ES","Unemployment Net","","Bloomberg",1,"04.07.2005 09:00:00","NaT"
"04.07.2005 04:30:00","NaT","UK Monetary Aggregates","Macro Release","UK","Monetary Aggregates","","Bloomberg",1,"04.07.2005 10:30:00","NaT"
"04.07.2005 11:30:00","NaT","ECB: Speech by President","Central Bank","ECB","Speech by President","Trichet: Presentation of the ECB's Annual Report 2004 to the European Parliament","",1,"04.07.2005 17:30:00","NaT"
"05.07.2005 03:30:00","NaT","Riksbank: Minutes","Central Bank","Riksbank","Minutes","Minutes from 20 June","",1,"05.07.2005 09:30:00","NaT"
"05.07.2005 04:30:00","NaT","UK Official Reserves Changes","Macro Release","UK","Official Reserves Changes","","Bloomberg",1,"05.07.2005 10:30:00","NaT"
"05.07.2005 05:00:00","NaT","EA Retail Sales & EA Retail Trade","Macro Release","EA","Retail Sales & EA Retail Trade","","Bloomberg",1,"05.07.2005 11:00:00","NaT"
"05.07.2005 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"05.07.2005 11:15:00","NaT"
"05.07.2005 10:00:00","NaT","US Durable Goods","Macro Release","US","Durable Goods","","Bloomberg",1,"05.07.2005 16:00:00","NaT"
"05.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VK4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb070505.pdf",1,"05.07.2005 17:00:00","NaT"
"05.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795WH0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa063005.pdf",1,"05.07.2005 19:05:00","NaT"
"05.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VU2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa063005.pdf",1,"05.07.2005 19:05:00","NaT"
"05.07.2005 19:30:00","NaT","RBA: Press Release","Central Bank","RBA","Press Release","","",1,"06.07.2005 01:30:00","NaT"
"06.07.2005 01:00:00","NaT","JP Cabinet Office Indices","Macro Release","JP","Cabinet Office Indices","","Bloomberg",1,"06.07.2005 07:00:00","NaT"
"06.07.2005 03:30:00","NaT","AT Wholesale Price Index","Macro Release","AT","Wholesale Price Index","","Bloomberg",1,"06.07.2005 09:30:00","NaT"
"06.07.2005 03:30:00","NaT","NL GDP","Macro Release","NL","GDP","","Bloomberg",1,"06.07.2005 09:30:00","NaT"
"06.07.2005 04:30:00","NaT","UK Industrial Production & UK Manufacturing Production","Macro Release","UK","Industrial Production & UK Manufacturing Production","","Bloomberg",1,"06.07.2005 10:30:00","NaT"
"06.07.2005 06:00:00","NaT","DE Factory Orders","Macro Release","DE","Factory Orders","","Bloomberg",1,"06.07.2005 12:00:00","NaT"
"06.07.2005 06:30:00","NaT","ECB: Speech by President","Central Bank","ECB","Speech by President","Trichet: European financial integration: the views of the ECB","ECB/Bloomberg",0,"06.07.2005 12:30:00","NaT"
"06.07.2005 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"06.07.2005 15:00:00","NaT"
"06.07.2005 10:00:00","NaT","US ISM Non-Manufacturing","Macro Release","US","ISM Non-Manufacturing","","Bloomberg",1,"06.07.2005 16:00:00","NaT"
"06.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VK4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb070505.pdf",1,"06.07.2005 19:05:00","NaT"
"06.07.2005 19:45:00","NaT","JP Official Reserve Assets","Macro Release","JP","Official Reserve Assets","","Bloomberg",1,"07.07.2005 01:45:00","NaT"
"07.07.2005 02:00:00","NaT","JP Machine Tool Orders","Macro Release","JP","Machine Tool Orders","","Bloomberg",1,"07.07.2005 08:00:00","NaT"
"07.07.2005 02:45:00","NaT","FR Budget Balance","Macro Release","FR","Budget Balance","","Bloomberg",1,"07.07.2005 08:45:00","NaT"
"07.07.2005 03:00:00","NaT","UK Halifax House Prices","Macro Release","UK","Halifax House Prices","","Bloomberg",1,"07.07.2005 09:00:00","NaT"
"07.07.2005 03:30:00","NaT","DK Industrial Production and Orders","Macro Release","DK","Industrial Production and Orders","","Bloomberg",1,"07.07.2005 09:30:00","NaT"
"07.07.2005 03:30:00","NaT","SE Budget Balance","Macro Release","SE","Budget Balance","","Bloomberg",1,"07.07.2005 09:30:00","NaT"
"07.07.2005 04:00:00","NaT","NO Ind Prod Manufacturing & NO Industrial Production","Macro Release","NO","Ind Prod Manufacturing & NO Industrial Production","","Bloomberg",1,"07.07.2005 10:00:00","NaT"
"07.07.2005 04:50:00","NaT","Ad Hoc: Other Unscheduled Event","Ad Hoc","Other Unscheduled Event","","London bombings","200507070004",0,"07.07.2005 10:50:00","NaT"
"07.07.2005 07:00:00","NaT","BoE: Press Release","Central Bank","BoE","Press Release","MPD","",1,"07.07.2005 13:00:00","NaT"
"07.07.2005 07:45:00","NaT","ECB: Press Release","Central Bank","ECB","Press Release","GCM PR","",1,"07.07.2005 13:45:00","NaT"
"07.07.2005 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"07.07.2005 14:30:00","NaT"
"07.07.2005 08:30:00","07.07.2005 09:23:00","ECB: Press Conference","Central Bank","ECB","Press Conference","GCM PC","",1,"07.07.2005 14:30:00","07.07.2005 15:23:00"
"07.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795WJ6","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa070705.pdf",1,"07.07.2005 17:00:00","NaT"
"07.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VV0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa070705.pdf",1,"07.07.2005 17:00:00","NaT"
"07.07.2005 19:45:00","NaT","JP Bank Lending and Monetary Aggregates","Macro Release","JP","Bank Lending and Monetary Aggregates","","Bloomberg",1,"08.07.2005 01:45:00","NaT"
"08.07.2005 01:00:00","NaT","JP Household Spending & JP Overall Household Spending","Macro Release","JP","Household Spending & JP Overall Household Spending","","Bloomberg",1,"08.07.2005 07:00:00","NaT"
"08.07.2005 01:00:00","NaT","JP Machine Orders","Macro Release","JP","Machine Orders","","Bloomberg",1,"08.07.2005 07:00:00","NaT"
"08.07.2005 03:00:00","NaT","JP Eco Watchters Survey","Macro Release","JP","Eco Watchters Survey","","Bloomberg",1,"08.07.2005 09:00:00","NaT"
"08.07.2005 03:30:00","NaT","NL Industrial Sales & NL Manufacturing Production","Macro Release","NL","Industrial Sales & NL Manufacturing Production","","Bloomberg",1,"08.07.2005 09:30:00","NaT"
"08.07.2005 05:00:00","NaT","GR CPI & GR CPI EU Harmonized","Macro Release","GR","CPI & GR CPI EU Harmonized","","Bloomberg",1,"08.07.2005 11:00:00","NaT"
"08.07.2005 06:00:00","NaT","DE Industrial Production","Macro Release","DE","Industrial Production","","Bloomberg",1,"08.07.2005 12:00:00","NaT"
"08.07.2005 08:30:00","NaT","US Employment Report","Macro Release","US","Employment Report","","Bloomberg",1,"08.07.2005 14:30:00","NaT"
"08.07.2005 10:15:00","NaT","BE Budget Balance","Macro Release","BE","Budget Balance","","Bloomberg",1,"08.07.2005 16:15:00","NaT"
"08.07.2005 10:15:00","NaT","BE Unemployment Rate","Macro Release","BE","Unemployment Rate","","Bloomberg",1,"08.07.2005 16:15:00","NaT"
"11.07.2005 02:45:00","NaT","FR Industrial Production & FR Manufacturing Production","Macro Release","FR","Industrial Production & FR Manufacturing Production","","Bloomberg",1,"11.07.2005 08:45:00","NaT"
"11.07.2005 03:30:00","NaT","DK Trade & Current Account Balance","Macro Release","DK","Trade & Current Account Balance","","Bloomberg",1,"11.07.2005 09:30:00","NaT"
"11.07.2005 04:30:00","NaT","UK Price Indices","Macro Release","UK","Price Indices","","Bloomberg",1,"11.07.2005 10:30:00","NaT"
"11.07.2005 05:05:00","NaT","DE Auction Result Bill","Auction","DE Result","Bill","ISIN DE0001114817","http://www.deutsche-finanzagentur.de/de/institutionelle-investoren/primaermarkt/auktionsergebnisse/",1,"11.07.2005 11:05:00","NaT"
"11.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VL2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb071105.pdf",1,"11.07.2005 17:00:00","NaT"
"11.07.2005 11:00:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828DZ0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofg071105.pdf",1,"11.07.2005 17:00:00","NaT"
"11.07.2005 11:00:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828EA4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofp071105.pdf",1,"11.07.2005 17:00:00","NaT"
"11.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795WJ6","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa070705.pdf",1,"11.07.2005 19:05:00","NaT"
"11.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VV0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa070705.pdf",1,"11.07.2005 19:05:00","NaT"
"12.07.2005 02:45:00","NaT","FR Trade Balance","Macro Release","FR","Trade Balance","","Bloomberg",1,"12.07.2005 08:45:00","NaT"
"12.07.2005 04:30:00","NaT","UK Price Indices","Macro Release","UK","Price Indices","","Bloomberg",1,"12.07.2005 10:30:00","NaT"
"12.07.2005 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"12.07.2005 11:15:00","NaT"
"12.07.2005 09:00:00","NaT","BoC: Press Release","Central Bank","BoC","Press Release","","",1,"12.07.2005 15:00:00","NaT"
"12.07.2005 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"12.07.2005 15:00:00","NaT"
"12.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VL2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb071105.pdf",1,"12.07.2005 19:05:00","NaT"
"12.07.2005 19:45:00","NaT","JP Current Account","Macro Release","JP","Current Account","","Bloomberg",1,"13.07.2005 01:45:00","NaT"
"13.07.2005 00:00:00","NaT","JP Tokyo Condominium Sales","Macro Release","JP","Tokyo Condominium Sales","","Bloomberg",1,"13.07.2005 06:00:00","NaT"
"13.07.2005 00:00:00","NaT","BoJ: Press Release","Central Bank","BoJ","Press Release","MPM: MP unchanged. The Bank of Japan will conduct money market operations, aiming at the outstanding balance of current accounts held at the Bank at around 30 to 35 trillion yen.","",1,"13.07.2005 06:00:00","NaT"
"13.07.2005 00:30:00","NaT","JP Capacity Utilization & JP Industrial Production","Macro Release","JP","Capacity Utilization & JP Industrial Production","","Bloomberg",1,"13.07.2005 06:30:00","NaT"
"13.07.2005 02:00:00","NaT","EA Car Registrations","Macro Release","EA","Car Registrations","","Bloomberg",1,"13.07.2005 08:00:00","NaT"
"13.07.2005 02:00:00","NaT","BoJ: Monthly Report","Central Bank","BoJ","Monthly Report","Monthly Report of Recent Economic and Financial Developments: The Bank's View","",1,"13.07.2005 08:00:00","NaT"
"13.07.2005 02:45:00","NaT","FR CPI and Wages","Macro Release","FR","CPI and Wages","","Bloomberg",1,"13.07.2005 08:45:00","NaT"
"13.07.2005 03:15:00","NaT","CN Actual FDI & CN Contract FDI Cumulative","Macro Release","CN","Actual FDI & CN Contract FDI Cumulative","","Bloomberg",1,"13.07.2005 09:15:00","NaT"
"13.07.2005 05:05:00","NaT","DE Auction Result Note","Auction","DE Result","Note","ISIN DE0001137107","http://www.deutsche-finanzagentur.de/de/institutionelle-investoren/primaermarkt/auktionsergebnisse/",1,"13.07.2005 11:05:00","NaT"
"13.07.2005 06:30:00","NaT","IT Industrial Production","Macro Release","IT","Industrial Production","","Bloomberg",1,"13.07.2005 12:30:00","NaT"
"13.07.2005 08:30:00","NaT","US Trade Balance","Macro Release","US","Trade Balance","","Bloomberg",1,"13.07.2005 14:30:00","NaT"
"13.07.2005 13:05:00","NaT","US Auction Result Note","Auction","US Result","Note","CUSIP 912828DZ0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofg071105.pdf",1,"13.07.2005 19:05:00","NaT"
"14.07.2005 00:30:00","NaT","JP Bankruptcies","Macro Release","JP","Bankruptcies","","Bloomberg",1,"14.07.2005 06:30:00","NaT"
"14.07.2005 02:00:00","NaT","FI CPI","Macro Release","FI","CPI","","Bloomberg",1,"14.07.2005 08:00:00","NaT"
"14.07.2005 03:30:00","NaT","CN Foreign Reserves","Macro Release","CN","Foreign Reserves","","Bloomberg",1,"14.07.2005 09:30:00","NaT"
"14.07.2005 03:30:00","NaT","CN Monetetary Aggregates","Macro Release","CN","Monetetary Aggregates","","Bloomberg",1,"14.07.2005 09:30:00","NaT"
"14.07.2005 04:00:00","NaT","IT CPI","Macro Release","IT","CPI","","Bloomberg",1,"14.07.2005 10:00:00","NaT"
"14.07.2005 04:00:00","NaT","ECB: Economic Bulletin","Central Bank","ECB","Economic Bulletin","Monthly Bulletin","",1,"14.07.2005 10:00:00","NaT"
"14.07.2005 05:00:00","NaT","EA GDP Components","Macro Release","EA","GDP Components","","Bloomberg",1,"14.07.2005 11:00:00","NaT"
"14.07.2005 08:30:00","NaT","US CPI and Earnings Data","Macro Release","US","CPI and Earnings Data","","Bloomberg",1,"14.07.2005 14:30:00","NaT"
"14.07.2005 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"14.07.2005 14:30:00","NaT"
"14.07.2005 08:30:00","NaT","US Retail Sales","Macro Release","US","Retail Sales","","Bloomberg",1,"14.07.2005 14:30:00","NaT"
"14.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795WK3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa071405.pdf",1,"14.07.2005 17:00:00","NaT"
"14.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VW8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa071405.pdf",1,"14.07.2005 17:00:00","NaT"
"14.07.2005 13:05:00","NaT","US Auction Result Note","Auction","US Result","Note","CUSIP 912828EA4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofp071105.pdf",1,"14.07.2005 19:05:00","NaT"
"15.07.2005 03:15:00","NaT","CH Retail Sales","Macro Release","CH","Retail Sales","","Bloomberg",1,"15.07.2005 09:15:00","NaT"
"15.07.2005 08:30:00","NaT","US Empire Manufacturing","Macro Release","US","Empire Manufacturing","","Bloomberg",1,"15.07.2005 14:30:00","NaT"
"15.07.2005 08:30:00","NaT","US PPI","Macro Release","US","PPI","","Bloomberg",1,"15.07.2005 14:30:00","NaT"
"15.07.2005 09:15:00","NaT","US Production and Capacity Utilization","Macro Release","US","Production and Capacity Utilization","","Bloomberg",1,"15.07.2005 15:15:00","NaT"
"15.07.2005 09:45:00","NaT","US University of Michigan Surveys","Macro Release","US","University of Michigan Surveys","","Bloomberg",1,"15.07.2005 15:45:00","NaT"
"17.07.2005 19:00:00","NaT","UK Rightmove House Prices","Macro Release","UK","Rightmove House Prices","","Bloomberg",1,"18.07.2005 01:00:00","NaT"
"18.07.2005 02:00:00","NaT","FI PPI","Macro Release","FI","PPI","","Bloomberg",1,"18.07.2005 08:00:00","NaT"
"18.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VM0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb071805.pdf",1,"18.07.2005 17:00:00","NaT"
"18.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795WK3","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa071405.pdf",1,"18.07.2005 19:05:00","NaT"
"18.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VW8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa071405.pdf",1,"18.07.2005 19:05:00","NaT"
"19.07.2005 01:00:00","NaT","JP Cabinet Office Indices","Macro Release","JP","Cabinet Office Indices","","Bloomberg",1,"19.07.2005 07:00:00","NaT"
"19.07.2005 01:00:00","NaT","BoJ: Minutes","Central Bank","BoJ","Minutes","Minutes on June 14/15 Meeting","",1,"19.07.2005 07:00:00","NaT"
"19.07.2005 02:00:00","NaT","DE PPI","Macro Release","DE","PPI","","Bloomberg",1,"19.07.2005 08:00:00","NaT"
"19.07.2005 02:00:00","NaT","GR Current Account Balance","Macro Release","GR","Current Account Balance","","Bloomberg",1,"19.07.2005 08:00:00","NaT"
"19.07.2005 02:00:00","NaT","JP Machine Tool Orders","Macro Release","JP","Machine Tool Orders","","Bloomberg",1,"19.07.2005 08:00:00","NaT"
"19.07.2005 03:15:00","NaT","CH Producer, Import Prices","Macro Release","CH","Producer, Import Prices","","Bloomberg",1,"19.07.2005 09:15:00","NaT"
"19.07.2005 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"19.07.2005 11:15:00","NaT"
"19.07.2005 08:30:00","NaT","US Building Permits & US Housing Starts","Macro Release","US","Building Permits & US Housing Starts","","Bloomberg",1,"19.07.2005 14:30:00","NaT"
"19.07.2005 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"19.07.2005 15:00:00","NaT"
"19.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VM0","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb071805.pdf",1,"19.07.2005 19:05:00","NaT"
"19.07.2005 22:00:00","NaT","CN CPI","Macro Release","CN","CPI","","Bloomberg",1,"20.07.2005 04:00:00","NaT"
"19.07.2005 22:00:00","NaT","CN GDP and Other Macro Aggregates","Macro Release","CN","GDP and Other Macro Aggregates","","Bloomberg",1,"20.07.2005 04:00:00","NaT"
"20.07.2005 04:30:00","NaT","UK Monetary Aggregates","Macro Release","UK","Monetary Aggregates","","Bloomberg",1,"20.07.2005 10:30:00","NaT"
"20.07.2005 04:30:00","NaT","BoE: Minutes","Central Bank","BoE","Minutes","Minutes","",1,"20.07.2005 10:30:00","NaT"
"20.07.2005 05:05:00","NaT","DE Auction Result Bond","Auction","DE Result","Bond","ISIN DE0001135275","http://www.deutsche-finanzagentur.de/de/institutionelle-investoren/primaermarkt/auktionsergebnisse/",1,"20.07.2005 11:05:00","NaT"
"20.07.2005 06:00:00","NaT","PT PPI","Macro Release","PT","PPI","","Bloomberg",1,"20.07.2005 12:00:00","NaT"
"20.07.2005 10:00:00","20.07.2005 13:01:00","Fed: Speech by Chair","Central Bank","Fed","Speech by Chair","Greenspan House Testimony (Monetary Policy and the State of the Economy)","https://www.govinfo.gov/content/pkg/CHRG-109hhrg23738/pdf/CHRG-109hhrg23738.pdf",1,"20.07.2005 16:00:00","20.07.2005 19:01:00"
"21.07.2005 02:15:00","NaT","CH Trade Balance","Macro Release","CH","Trade Balance","","Bloomberg",1,"21.07.2005 08:15:00","NaT"
"21.07.2005 03:30:00","NaT","IT Consumer Confidence","Macro Release","IT","Consumer Confidence","","Bloomberg",1,"21.07.2005 09:30:00","NaT"
"21.07.2005 03:30:00","NaT","NL Unemployment Rate","Macro Release","NL","Unemployment Rate","","Bloomberg",1,"21.07.2005 09:30:00","NaT"
"21.07.2005 08:30:00","NaT","US Jobless Claims","Macro Release","US","Jobless Claims","","Bloomberg",1,"21.07.2005 14:30:00","NaT"
"21.07.2005 10:00:00","NaT","US Leading Index","Macro Release","US","Leading Index","","Bloomberg",1,"21.07.2005 16:00:00","NaT"
"21.07.2005 10:07:00","21.07.2005 12:10:00","Fed: Speech by Chair","Central Bank","Fed","Speech by Chair","Greenspan Senate Testimony (Monetary Policy Report)","https://www.govinfo.gov/content/pkg/CHRG-109shrg24852/pdf/CHRG-109shrg24852.pdf",1,"21.07.2005 16:07:00","21.07.2005 18:10:00"
"21.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795WL1","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa072105.pdf",1,"21.07.2005 17:00:00","NaT"
"21.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VX6","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa072105.pdf",1,"21.07.2005 17:00:00","NaT"
"21.07.2005 11:00:00","NaT","US Auction Announcement Bond","Auction","US Announcement","Bond","CUSIP 912810FR4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofp072105.pdf",1,"21.07.2005 17:00:00","NaT"
"21.07.2005 14:00:00","NaT","Fed: Minutes","Central Bank","Fed","Minutes","FOMC Meeting Minutes","",1,"21.07.2005 20:00:00","NaT"
"21.07.2005 19:45:00","NaT","JP Tertiary Industry Index","Macro Release","JP","Tertiary Industry Index","","Bloomberg",1,"22.07.2005 01:45:00","NaT"
"22.07.2005 04:00:00","NaT","IT Trade Balance Non-Eu (Euros)","Macro Release","IT","Trade Balance Non-Eu (Euros)","","Bloomberg",1,"22.07.2005 10:00:00","NaT"
"25.07.2005 02:00:00","NaT","DE Import Price Index","Macro Release","DE","Import Price Index","","Bloomberg",1,"25.07.2005 08:00:00","NaT"
"25.07.2005 10:00:00","NaT","US Existing Home Sales","Macro Release","US","Existing Home Sales","","Bloomberg",1,"25.07.2005 16:00:00","NaT"
"25.07.2005 11:00:00","NaT","US Auction Announcement Bill","Auction","US Announcement","Bill","CUSIP 912795VN8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb072505.pdf",1,"25.07.2005 17:00:00","NaT"
"25.07.2005 11:00:00","NaT","US Auction Announcement Note","Auction","US Announcement","Note","CUSIP 912828EB2","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofd072505.pdf",1,"25.07.2005 17:00:00","NaT"
"25.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795WL1","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa072105.pdf",1,"25.07.2005 19:05:00","NaT"
"25.07.2005 13:05:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VX6","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofa072105.pdf",1,"25.07.2005 19:05:00","NaT"
"25.07.2005 19:45:00","NaT","JP PPI Services","Macro Release","JP","PPI Services","","Bloomberg",1,"26.07.2005 01:45:00","NaT"
"26.07.2005 02:45:00","NaT","FR Housing Permits & FR Housing Starts","Macro Release","FR","Housing Permits & FR Housing Starts","","Bloomberg",1,"26.07.2005 08:45:00","NaT"
"26.07.2005 04:00:00","NaT","DE CPI Hesse","Macro Release","DE","CPI Hesse","","Bloomberg",1,"26.07.2005 10:00:00","NaT"
"26.07.2005 04:00:00","NaT","DE IFO Survey","Macro Release","DE","IFO Survey","","Bloomberg",1,"26.07.2005 10:00:00","NaT"
"26.07.2005 04:30:00","NaT","UK Car Prod.","Macro Release","UK","Car Prod.","","Bloomberg",1,"26.07.2005 10:30:00","NaT"
"26.07.2005 05:15:00","NaT","ECB: MRO","Central Bank","ECB","MRO","","ECB website",1,"26.07.2005 11:15:00","NaT"
"26.07.2005 09:00:00","NaT","ECB: Weekly Financial Statement","Central Bank","ECB","Weekly Financial Statement","","ECB website",1,"26.07.2005 15:00:00","NaT"
"26.07.2005 10:00:00","NaT","US Conference Board Indices","Macro Release","US","Conference Board Indices","","Bloomberg",1,"26.07.2005 16:00:00","NaT"
"26.07.2005 11:35:00","NaT","US Auction Result Bill","Auction","US Result","Bill","CUSIP 912795VN8","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofb072505.pdf",1,"26.07.2005 17:35:00","NaT"
"26.07.2005 13:05:00","NaT","US Auction Result Bond","Auction","US Result","Bond","CUSIP 912810FR4","https://www.treasurydirect.gov/instit/annceresult/press/preanre/2005/ofp072105.pdf",1,"26.07.2005 19:05:00","NaT"
"26.07.2005 22:45:00","NaT","BoJ: Press Release","Central Bank","BoJ","Press Release","MPM: MP unchanged. The Bank of Japan will conduct money market operations, aiming at the outstanding balance of current accounts held at the Bank at around 30 to 35 trillion yen.","",1,"27.07.2005 04:45:00","NaT"
"27.07.2005 02:00:00","NaT","FI Consumer Confidence","Macro Release","FI","Consumer Confidence","","Bloomberg",1,"27.07.2005 08:00:00","NaT"
"27.07.2005 02:45:00","NaT","FR Manufacturing and Business Confidence","Macro Release","FR","Manufacturing and Business Confidence","","Bloomberg",1,"27.07.2005 08:45:00","NaT"
"27.07.2005 04:00:00","NaT","SE Trade Balance","Macro Release","SE","Trade Balance","","Bloomberg",1,"27.07.2005 10:00:00","NaT"
